hidden_dim=768 feature=22 selected_neurons_count=45 selected_neurons=[(588, 10.077812194824219), (61, 2.0705387592315674), (551, 1.9328076839447021), (219, 1.3901945352554321), (82, 1.3563059568405151), (731, 0.9735636115074158), (251, 0.87029629945755), (561, 0.804652214050293), (361, 0.7240000367164612), (634, 0.6686996221542358)]
hidden_dim=768 feature=23 selected_neurons_count=116 selected_neurons=[(588, 8.827326774597168), (551, 3.0173161029815674), (61, 2.1252753734588623), (611, 1.460891604423523), (411, 1.1059211492538452), (550, 1.0686508417129517), (653, 1.0672909021377563), (546, 1.0580077171325684), (699, 1.0325984954833984), (561, 1.0013706684112549)]
hidden_dim=768 feature=24 selected_neurons_count=24 selected_neurons=[(588, 9.42839527130127), (551, 5.287662982940674), (61, 1.2795584201812744), (611, 1.0142689943313599), (496, 0.915130078792572), (57, 0.8937082290649414), (330, 0.8845149278640747), (331, 0.7892709970474243), (144, 0.6461500525474548), (494, 0.5868828296661377)]
hidden_dim=768 feature=25 selected_neurons_count=101 selected_neurons=[(588, 8.26906681060791), (551, 5.965793132781982), (570, 2.702824354171753), (330, 2.3516769409179688), (664, 1.3619911670684814), (38, 1.302419662475586), (526, 1.2556074857711792), (331, 1.1266553401947021), (119, 1.031603455543518), (157, 1.0272607803344727)]
hidden_dim=768 feature=26 selected_neurons_count=67 selected_neurons=[(588, 10.485107421875), (61, 2.0383806228637695), (551, 1.8891398906707764), (169, 1.404555082321167), (333, 1.1236292123794556), (219, 1.0782091617584229), (624, 0.9171767234802246), (93, 0.8663257360458374), (408, 0.8467233180999756), (611, 0.836559534072876)]
hidden_dim=768 feature=27 selected_neurons_count=273 selected_neurons=[(588, 9.679464340209961), (326, 2.3419559001922607), (551, 2.297776460647583), (663, 2.1670284271240234), (40, 1.881675362586975), (586, 1.7121132612228394), (61, 1.6896306276321411), (573, 1.5108264684677124), (95, 1.4466246366500854), (494, 1.331059217453003)]
hidden_dim=768 feature=28 selected_neurons_count=111 selected_neurons=[(588, 10.943720817565918), (551, 7.10875129699707), (331, 2.078803300857544), (217, 2.035548686981201), (731, 1.634872317314148), (570, 1.579941749572754), (496, 1.3131678104400635), (112, 1.1753178834915161), (157, 1.1296921968460083), (330, 1.057348608970642)]
hidden_dim=768 feature=29 selected_neurons_count=261 selected_neurons=[(588, 6.5265212059021), (551, 4.345784664154053), (61, 2.8889095783233643), (259, 2.3440706729888916), (764, 2.2927732467651367), (361, 2.221998453140259), (751, 2.1991147994995117), (214, 2.1942009925842285), (663, 2.015390634536743), (249, 1.926034688949585)]
hidden_dim=768 feature=30 selected_neurons_count=164 selected_neurons=[(588, 8.168257713317871), (551, 6.844651699066162), (570, 2.674769401550293), (331, 1.8766818046569824), (193, 1.7098780870437622), (330, 1.5757699012756348), (217, 1.4925607442855835), (38, 1.4662764072418213), (656, 1.3496031761169434), (245, 1.2698652744293213)]
hidden_dim=768 feature=31 selected_neurons_count=75 selected_neurons=[(588, 10.216415405273438), (61, 4.0307087898254395), (551, 1.9973387718200684), (731, 1.4313151836395264), (82, 1.2969841957092285), (161, 1.052476406097412), (387, 1.0245081186294556), (219, 1.0169470310211182), (750, 0.9778336882591248), (111, 0.912859320640564)]
hidden_dim=768 feature=32 selected_neurons_count=164 selected_neurons=[(551, 3.8351168632507324), (588, 2.208855152130127), (61, 2.1530070304870605), (611, 1.9810879230499268), (656, 1.6629869937896729), (529, 1.65530264377594), (97, 1.6410012245178223), (526, 1.5424728393554688), (330, 1.4979361295700073), (133, 1.3094072341918945)]
hidden_dim=768 feature=33 selected_neurons_count=28 selected_neurons=[(588, 10.657079696655273), (551, 4.322536468505859), (219, 1.1786023378372192), (144, 0.8467761278152466), (330, 0.7296198010444641), (262, 0.6970223784446716), (93, 0.6683899760246277), (754, 0.652891993522644), (157, 0.6410635113716125), (251, 0.5949854850769043)]
hidden_dim=768 feature=34 selected_neurons_count=143 selected_neurons=[(588, 7.75698184967041), (551, 5.733230113983154), (38, 1.5995562076568604), (245, 1.5401957035064697), (647, 1.4735281467437744), (611, 1.2995504140853882), (193, 1.163805603981018), (664, 1.1186161041259766), (674, 1.101751446723938), (570, 1.089198112487793)]
hidden_dim=768 feature=35 selected_neurons_count=118 selected_neurons=[(588, 8.985130310058594), (61, 3.218736171722412), (551, 1.921708583831787), (144, 1.5758765935897827), (79, 1.4662437438964844), (215, 1.3809266090393066), (624, 1.3035376071929932), (119, 1.291301965713501), (446, 1.2665982246398926), (748, 1.2115007638931274)]
hidden_dim=768 feature=36 selected_neurons_count=176 selected_neurons=[(588, 8.93189811706543), (551, 3.677832841873169), (624, 1.5178207159042358), (40, 1.4496898651123047), (411, 1.421934723854065), (396, 1.3161249160766602), (400, 1.2507573366165161), (219, 1.2449771165847778), (604, 1.2299407720565796), (306, 1.2258821725845337)]
hidden_dim=768 feature=37 selected_neurons_count=47 selected_neurons=[(588, 7.834426403045654), (61, 3.9259469509124756), (551, 1.6687384843826294), (611, 1.4959652423858643), (38, 1.0163806676864624), (169, 0.9339247345924377), (519, 0.870347797870636), (144, 0.8335422277450562), (574, 0.7466264367103577), (518, 0.7124762535095215)]
hidden_dim=768 feature=38 selected_neurons_count=207 selected_neurons=[(588, 11.31837272644043), (551, 6.597794055938721), (570, 1.8638761043548584), (331, 1.8004577159881592), (11, 1.7714126110076904), (217, 1.5146737098693848), (416, 1.4655288457870483), (502, 1.426177740097046), (219, 1.3717994689941406), (156, 1.3504638671875)]
hidden_dim=768 feature=39 selected_neurons_count=145 selected_neurons=[(588, 7.795073509216309), (61, 3.5095086097717285), (551, 2.5453715324401855), (38, 1.9597299098968506), (764, 1.8466832637786865), (647, 1.7939906120300293), (519, 1.7183904647827148), (751, 1.7067711353302002), (97, 1.6645073890686035), (611, 1.6552677154541016)]
hidden_dim=768 feature=40 selected_neurons_count=100 selected_neurons=[(588, 10.68801498413086), (551, 8.402631759643555), (570, 2.8305885791778564), (330, 1.7617450952529907), (331, 1.7036958932876587), (217, 1.6741150617599487), (749, 1.1449720859527588), (324, 1.1428898572921753), (157, 1.1117630004882812), (41, 1.0968321561813354)]
hidden_dim=768 feature=41 selected_neurons_count=198 selected_neurons=[(588, 7.562253475189209), (551, 3.6828665733337402), (61, 2.8107848167419434), (764, 2.1776394844055176), (751, 2.0410726070404053), (259, 1.9157480001449585), (214, 1.8100155591964722), (663, 1.8019903898239136), (249, 1.6847777366638184), (361, 1.6163320541381836)]
hidden_dim=768 feature=42 selected_neurons_count=62 selected_neurons=[(588, 7.431720733642578), (551, 2.477820634841919), (611, 1.2130228281021118), (61, 1.1122099161148071), (82, 1.0905616283416748), (518, 0.9206578135490417), (57, 0.9039251804351807), (330, 0.9023321866989136), (224, 0.865340530872345), (95, 0.8611905574798584)]
