hidden_dim=768 feature=11 selected_neurons_count=90 selected_neurons=[(588, 8.686017990112305), (551, 4.82798433303833), (61, 2.0623600482940674), (330, 1.0185966491699219), (95, 1.0073720216751099), (79, 0.9721128344535828), (331, 0.9593318700790405), (573, 0.9025512337684631), (502, 0.8992621898651123), (169, 0.8710095286369324)]
hidden_dim=768 feature=12 selected_neurons_count=119 selected_neurons=[(588, 10.071920394897461), (551, 7.600579261779785), (570, 2.0741374492645264), (330, 1.7116588354110718), (47, 1.5666812658309937), (112, 1.497925877571106), (624, 1.4222127199172974), (331, 1.369762897491455), (217, 1.3638676404953003), (157, 1.3017545938491821)]
hidden_dim=768 feature=13 selected_neurons_count=70 selected_neurons=[(588, 9.791223526000977), (551, 3.417360544204712), (61, 2.709524393081665), (82, 1.552901268005371), (731, 1.4181417226791382), (764, 1.1770449876785278), (219, 1.1316282749176025), (254, 1.077502965927124), (611, 1.0622847080230713), (756, 0.9786096215248108)]
hidden_dim=768 feature=14 selected_neurons_count=200 selected_neurons=[(97, 3.2559256553649902), (588, 2.261014461517334), (330, 2.0933494567871094), (61, 2.0017306804656982), (611, 1.9523965120315552), (551, 1.883033037185669), (526, 1.8111541271209717), (333, 1.6364827156066895), (133, 1.6059902906417847), (570, 1.5625495910644531)]
hidden_dim=768 feature=15 selected_neurons_count=148 selected_neurons=[(551, 5.558176517486572), (61, 4.079458236694336), (38, 2.9737141132354736), (588, 2.9350295066833496), (611, 2.3210387229919434), (330, 1.8635125160217285), (647, 1.7587306499481201), (570, 1.6913479566574097), (224, 1.5547778606414795), (245, 1.5428812503814697)]
hidden_dim=768 feature=16 selected_neurons_count=95 selected_neurons=[(588, 6.123545169830322), (551, 2.5283257961273193), (61, 2.2900407314300537), (330, 1.9278538227081299), (97, 1.4120489358901978), (611, 1.411903977394104), (40, 1.3663629293441772), (333, 1.2868399620056152), (570, 1.2646218538284302), (159, 1.033392310142517)]
hidden_dim=768 feature=17 selected_neurons_count=99 selected_neurons=[(588, 10.573869705200195), (551, 8.743289947509766), (570, 2.9058995246887207), (330, 1.788554310798645), (331, 1.774930477142334), (749, 1.4813510179519653), (217, 1.4328819513320923), (41, 1.185005784034729), (157, 1.1522941589355469), (324, 1.1077584028244019)]
hidden_dim=768 feature=18 selected_neurons_count=194 selected_neurons=[(551, 6.6333231925964355), (570, 3.0543975830078125), (588, 2.6734046936035156), (611, 2.438774585723877), (656, 2.2520267963409424), (330, 2.2181975841522217), (664, 2.1468048095703125), (16, 1.9147754907608032), (497, 1.8151938915252686), (193, 1.6530890464782715)]
hidden_dim=768 feature=19 selected_neurons_count=149 selected_neurons=[(588, 3.9385812282562256), (551, 3.8557286262512207), (570, 2.438706636428833), (61, 2.388795852661133), (611, 2.0637314319610596), (664, 1.9647738933563232), (656, 1.9545676708221436), (38, 1.906206488609314), (330, 1.8047500848770142), (397, 1.560948371887207)]
hidden_dim=768 feature=20 selected_neurons_count=98 selected_neurons=[(588, 10.203524589538574), (551, 7.664768218994141), (570, 2.3671457767486572), (331, 1.6940333843231201), (330, 1.5332046747207642), (749, 1.306874394416809), (664, 1.077838659286499), (217, 1.0553672313690186), (324, 1.0420236587524414), (156, 1.0137004852294922)]
hidden_dim=768 feature=21 selected_neurons_count=156 selected_neurons=[(588, 4.280731201171875), (551, 4.190671443939209), (570, 2.335667133331299), (330, 2.04925274848938), (656, 1.9951095581054688), (61, 1.9104828834533691), (664, 1.85213041305542), (611, 1.8210419416427612), (38, 1.712225079536438), (193, 1.604722261428833)]
hidden_dim=768 feature=22 selected_neurons_count=82 selected_neurons=[(588, 10.430207252502441), (551, 7.40538215637207), (570, 2.513084888458252), (330, 1.635297417640686), (217, 1.5303367376327515), (331, 1.5285909175872803), (324, 1.077438235282898), (156, 1.02432382106781), (664, 0.966312825679779), (245, 0.9019181728363037)]
